run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
4,2,13,1.6,object,2,object_2,11,119,5,10,5,1,1,11.25,2500,1000,1000,2325.4805709788725,0,1317.383090026641,8125.0,16279.113661005515,0,0
4,2,14,1.6,animals,1,animals_1,12,120,9,17,13,1,1,11.25,2500,1000,1000,2753.7239564662295,0,1584.4561824779644,8750.0,17599.430138944193,0,0
4,2,16,1.6,food,1,food_1,13,121,6,11,9,1,1,11.25,2500,1000,1000,2977.4635821617244,0,1437.4178971189624,10000.0,18926.131479280688,0,0
4,2,17,1.6,leg,1,leg_1,14,122,3,5,4,2,1,11.25,2500,1000,1000,2399.0698249141055,0,1266.9340083359903,10625.0,18802.253833250095,0,0
4,2,17,1.6,face,2,face_2,15,123,1,2,1,1,1,11.25,2500,1000,1000,2040.5434711707521,1000,1526.6907279659195,10625.0,19703.48419913667,0,0
4,2,14,1.6,shapes,1,shapes_1,16,124,8,15,11,1,1,11.25,2500,1000,1000,2823.672367079349,1000,1527.289981315722,8750.0,18612.21234839507,0,0
4,2,16,1.6,house,1,house_1,17,125,2,3,1,1,1,11.25,2500,1000,1000,2914.054285213565,0,1296.8227775702987,10000.0,18722.127062783864,0,0
4,2,16,1.6,hands,1,hands_1,18,126,7,13,11,1,1,11.25,2500,1000,1000,2463.248638925913,0,1591.854173196196,10000.0,18566.35281212211,0,0
4,3,17,2.0,leg,2,leg_2,19,127,3,6,5,1,1,9.0,2500,1000,1000,2435.0895812634676,0,1343.5753777931664,8500.0,16787.664959056634,0,0
4,3,13,2.0,animals,1,animals_1,20,128,9,17,12,2,1,9.0,2500,1000,1000,2167.6539140968885,0,1279.1538616303897,6500.0,14455.807775727279,0,0
4,3,12,2.0,house,2,house_2,21,129,2,4,16,2,1,9.0,2500,1000,1000,2172.917908760401,0,1193.2189079632112,6000.0,13875.136816723612,0,0
4,3,17,2.0,tool,2,tool_2,22,130,4,8,7,1,1,9.0,2500,1000,1000,2924.5304479415568,1000,1455.5420492321946,8500.0,18389.07249717375,0,0
4,3,14,2.0,face,1,face_1,23,131,1,1,15,1,1,9.0,2500,1000,1000,2286.5638459094366,1000,1171.9100324201715,7000.0,15967.473878329609,0,0
4,3,16,2.0,food,1,food_1,24,132,6,11,9,1,1,9.0,2500,1000,1000,2202.9714644662317,0,1193.926176981299,8000.0,15905.897641447531,0,0
4,3,16,2.0,hands,1,hands_1,25,133,7,13,11,1,1,9.0,2500,1000,1000,2356.5516229793616,0,1170.7430887371308,8000.0,16036.294711716491,0,0
4,3,15,2.0,shapes,1,shapes_1,26,134,8,15,12,2,1,9.0,2500,1000,1000,2342.3256523025007,0,1043.0698916000565,7500.0,15394.395543902558,0,0
4,3,16,2.0,object,2,object_2,27,135,5,10,8,2,1,9.0,2500,1000,1000,2776.3102784273633,0,1440.3477565589935,8000.0,16725.658034986358,0,0
4,4,17,1.6,tool,1,tool_1,28,136,4,7,6,2,1,11.25,2500,1000,1000,2935.722546771676,0,1714.061182092246,10625.0,19786.03372886392,0,0
4,4,15,1.6,shapes,2,shapes_2,29,137,8,16,13,1,1,11.25,2500,1000,1000,2126.717243010162,0,1309.8308914948725,9375.0,17322.798134505036,0,0
4,4,12,1.6,animals,2,animals_2,30,138,9,18,12,2,1,11.25,2500,1000,1000,2107.101731268049,0,1271.2252318487783,7500.0,15389.576963116826,0,0
4,4,15,1.6,hands,2,hands_2,31,139,7,14,11,1,1,11.25,2500,1000,1000,2476.6429082593486,0,1383.5842663980368,9375.0,17746.477174657386,0,0
4,4,14,1.6,food,2,food_2,32,140,6,12,8,2,1,11.25,2500,1000,1000,2310.16765728705,1000,1452.1319913932134,8750.0,18023.549648680266,0,0
4,4,15,1.6,object,1,object_1,33,141,5,9,6,2,1,11.25,2500,1000,1000,2642.859439780358,0,1703.7502971403096,9375.0,18232.85973692067,0,0
4,4,12,1.6,leg,2,leg_2,34,142,3,6,18,2,1,11.25,2500,1000,1000,2025.929980448163,0,1824.7382583987858,7500.0,15861.918238846949,0,0
4,4,12,1.6,face,1,face_1,35,143,1,1,13,1,1,11.25,2500,1000,1000,2367.7075358174548,1000,1463.3339305415918,7500.0,16842.29146635905,0,0
4,4,13,1.6,house,2,house_2,36,144,2,4,17,1,1,11.25,2500,1000,1000,2559.702814301447,0,1842.2455686837136,8125.0,17038.19838298516,0,0
5,1,15,1.6,animals,1,animals_1,1,145,9,17,14,2,1,11.25,2500,1000,1000,2484.349728863566,0,1405.7085458784866,9375.0,17776.308274742052,0,0
5,1,16,1.6,shapes,2,shapes_2,2,146,8,16,14,2,1,11.25,2500,1000,1000,2064.2747808747004,1000,1775.6617587277149,10000.0,19351.186539602415,0,0
5,1,14,1.6,tool,2,tool_2,3,147,4,8,4,2,1,11.25,2500,1000,1000,2455.962181798168,0,1578.2590412744726,8750.0,17295.47122307264,0,0
5,1,17,1.6,food,1,food_1,4,148,6,11,10,2,1,11.25,2500,1000,1000,2710.4111313999797,0,1438.5365679442796,10625.0,19285.19769934426,0,0
5,1,17,1.6,house,1,house_1,5,149,2,3,2,2,1,11.25,2500,1000,1000,2667.3464579725946,0,1519.4195963844581,10625.0,19323.016054357053,0,0
