run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
3,4,12,2.0,leg,2,leg_2,29,101,6,12,6,2,1,0.0,2500,1000,1000,2206.810365042992,0,1475.0090939961094,6000.0,14181.819459039101,1,3,2,6,2,0,0,0,0,0,0.0,,,,0,,1,1
3,4,13,2.0,shape,2,shape_2,30,102,9,18,13,1,1,0.0,2500,1000,1000,2985.369370357851,0,1061.1525488746106,6500.0,15046.521919232462,1,7,1,9,2,0,0,0,0,0,0.0,,,,0,,1,1
3,4,14,2.0,food,1,food_1,31,103,8,15,11,1,1,0.0,2500,1000,1000,2762.067237595589,0,1354.062837574293,7000.0,15616.130075169882,1,6,1,8,1,0,0,0,0,0,0.0,,,,0,,1,1
3,4,17,2.0,object,1,object_1,32,104,7,13,12,2,1,0.0,2500,1000,1000,2057.3204874889416,0,1391.8658571760045,8500.0,16449.186344664944,1,6,2,7,1,0,0,0,0,0,0.0,,,,0,,1,1
3,4,12,2.0,animal,2,animal_2,33,105,4,8,2,2,1,0.0,2500,1000,1000,2183.3315834206464,1000,1004.1573827498443,6000.0,14687.488966170491,1,1,2,4,2,1,6,14,7,2,3000.0,8.0,1.0,15.0,-1,1.0,1,1
3,4,13,2.0,tool,1,tool_1,34,106,5,9,4,2,1,0.0,2500,1000,1000,2567.2556831840097,0,1125.3076969449082,6500.0,14692.563380128919,1,2,2,5,1,0,0,0,0,0,0.0,,,,0,,1,1
3,4,16,2.0,face,2,face_2,35,107,3,6,4,2,1,0.0,2500,1000,1000,2378.027136560222,0,1275.1563848639935,8000.0,16153.183521424216,1,2,2,3,2,0,0,0,0,0,0.0,,,,0,,1,1
3,4,16,2.0,hand,2,hand_2,36,108,1,2,18,2,1,0.0,2500,1000,1000,2493.4980846997446,0,1177.8766817947817,8000.0,16171.374766494526,1,9,2,1,2,0,0,0,0,0,0.0,,,,0,,1,1
4,1,12,2.0,object,1,object_1,1,109,7,13,7,1,1,9.0,2500,1000,1000,2634.9327220040773,0,1356.4096558487586,6000.0,14500.342377852836,1,4,1,7,1,0,0,0,0,0,0.0,,,,0,,1,1
4,1,17,2.0,face,2,face_2,2,110,3,6,5,1,1,0.0,2500,1000,1000,2600.905014414002,0,1447.811934145412,8500.0,17048.716948559413,1,3,1,3,2,0,0,0,0,0,0.0,,,,0,,1,1
